iter	Passed	Remaining
401	15920	3881
402	15946	3838
403	15971	3795
404	15995	3752
405	16017	3708
406	16049	3667
407	16070	3623
408	16092	3580
409	16113	3537
410	16134	3493
411	16156	3450
412	16178	3408
413	16199	3365
414	16220	3322
415	16243	3280
416	16265	3237
417	16287	3195
418	16308	3152
419	16331	3110
420	16352	3068
421	16374	3026
422	16397	2984
423	16420	2943
424	16442	2901
425	16466	2860
426	16489	2819
427	16516	2778
428	16545	2738
429	16572	2697
430	16595	2656
431	16616	2615
432	16637	2574
433	16660	2533
434	16680	2492
435	16702	2451
436	16724	2411
437	16754	2371
438	16789	2332
439	16817	2293
440	16847	2254
441	16903	2218
442	17026	2190
443	17118	2159
444	17168	2121
445	17208	2083
446	17240	2044
447	17300	2008
448	17399	1976
449	17499	1944
450	17567	1908
451	17597	1868
452	17626	1828
453	17652	1788
454	17677	1748
455	17708	1708
456	17803	1675
457	17875	1639
458	17940	1602
459	18001	1565
460	18030	1525
461	18055	1485
462	18088	1445
463	18120	1405
464	18158	1366
465	18187	1327
466	18216	1287
467	18241	1247
468	18266	1207
469	18299	1168
470	18325	1128
471	18390	1090
472	18462	1053
473	18551	1017
474	18590	978
475	18683	942
476	18706	901
477	18803	865
478	18879	827
479	18900	787
480	18923	747
481	19117	713
482	19194	675
483	19290	637
484	19357	598
485	19437	559
486	19625	523
487	19704	484
488	19788	445
489	19887	405
490	19970	366
491	20042	325
492	20099	285
493	20230	245
494	20324	205
495	20462	165
496	20578	124
497	20792	83
498	20875	41
499	20908	0
