iter	MultiClass
396	0.06914043948
397	0.06893450359
398	0.06876214531
399	0.06855659658
400	0.06833626211
401	0.06810820905
402	0.06787996057
403	0.0676397766
404	0.06738824274
405	0.06717497572
406	0.06693280019
407	0.06672871662
408	0.06646491798
409	0.06625426746
410	0.06601069693
411	0.06577232828
412	0.0655490022
413	0.06535231799
414	0.06510061383
415	0.06492682094
416	0.06471412867
417	0.06450361612
418	0.06430242187
419	0.06406215776
420	0.06386456837
421	0.06372371627
422	0.06350415226
423	0.06331473382
424	0.0631150943
425	0.06293235026
426	0.06276900816
427	0.06253447379
428	0.06241068538
429	0.06224842538
430	0.06201374598
431	0.06182688673
432	0.06165023768
433	0.06144701781
434	0.06122843143
435	0.06098115109
436	0.06081363292
437	0.06063173129
438	0.06044275056
439	0.06028119878
440	0.06006253521
441	0.05983487483
442	0.05967550647
443	0.05953394759
444	0.05934029384
445	0.05915792201
446	0.05900570389
447	0.05882430062
448	0.05865824813
449	0.05851319207
450	0.05834410957
451	0.05818000682
452	0.05796882151
453	0.0578218999
454	0.05769102182
455	0.05747797918
456	0.05733358017
457	0.05716834204
458	0.05699732927
459	0.05684582093
460	0.05665725598
461	0.05648657442
462	0.05629737868
463	0.05612522982
464	0.0559571547
465	0.05586609118
466	0.05569043235
467	0.05551260463
468	0.0553937552
469	0.05525355857
470	0.05510279429
471	0.05499500516
472	0.05482408688
473	0.05468313477
474	0.05453845194
475	0.05442205496
476	0.05427068627
477	0.05412454809
478	0.05399955639
479	0.05386658908
480	0.05371080346
481	0.05358547687
482	0.05344304027
483	0.05330599985
484	0.05317397052
485	0.05303411899
486	0.05291650979
487	0.05274537818
488	0.05257827531
489	0.0524431041
490	0.05233178658
491	0.0522227764
492	0.05207954976
493	0.05197494677
494	0.05183376714
495	0.0517039684
496	0.05154701454
497	0.05140640753
498	0.05124479211
499	0.05110505291
